image_id,method,config_id,iou_threshold,gpu,latency_ms,input_mode,normalize,invert,diameter,flow_threshold,cellprob_threshold,min_size,true_instances,pred_instances,matched_instances,false_positives,false_negatives,precision,recall,object_f1,mean_matched_iou,mean_matched_dice,count_error,absolute_count_error
220b37f4ca7cab486d2b71cd87a46ee7411a5aa142799d96ed98015ab5ba538a,cellpose_cpsam,gray_max,0.5,True,672.815,gray_max,True,False,,0.4,0.0,15,1,1,1,0,0,1.0,1.0,1.0,0.7796610169491526,0.8761904761904762,0,0
7b38c9173ebe69b4c6ba7e703c0c27f39305d9b2910f46405993d2ea7a963b80,cellpose_cpsam,gray_max,0.5,True,737.111,gray_max,True,False,,0.4,0.0,15,1,98,0,98,1,0.0,0.0,0.0,0.0,0.0,97,97
84eeec681987753029eb83ea5f3ff7e8b5697783cdb2035f2882d40c9a3f1029,cellpose_cpsam,gray_max,0.5,True,692.217,gray_max,True,False,,0.4,0.0,15,1,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0
93c5638e7e6433b5c9cc87c152bcbe28873d2f9d6a392cca0642520807542a77,cellpose_cpsam,gray_max,0.5,True,661.159,gray_max,True,False,,0.4,0.0,15,1,1,1,0,0,1.0,1.0,1.0,0.5454545454545454,0.7058823529411765,0,0
e5aeb5b3577abbebe8982b5dd7d22c4257250ad3000661a42f38bf9248d291fd,cellpose_cpsam,gray_max,0.5,True,645.17,gray_max,True,False,,0.4,0.0,15,2,0,0,0,2,0.0,0.0,0.0,0.0,0.0,-2,2
d1dbc6ee7c44a7027e935d040e496793186b884a1028d0e26284a206c6f5aff0,cellpose_cpsam,gray_max,0.5,True,670.559,gray_max,True,False,,0.4,0.0,15,17,8,5,3,12,0.625,0.29411764705882354,0.4,0.8959367018222218,0.9446476243827417,-9,9
0121d6759c5adb290c8e828fc882f37dfaf3663ec885c663859948c154a443ed,cellpose_cpsam,gray_max,0.5,True,719.074,gray_max,True,False,,0.4,0.0,15,86,37,27,10,59,0.7297297297297297,0.313953488372093,0.43902439024390244,0.7211893038955144,0.8326615187437884,-49,49
947c0d94c8213ac7aaa41c4efc95d854246550298259cf1bb489654d0e969050,cellpose_cpsam,gray_max,0.5,True,724.245,gray_max,True,False,,0.4,0.0,15,64,39,17,22,47,0.4358974358974359,0.265625,0.3300970873786408,0.8002866033497213,0.8872297178628751,-25,25
4e07a653352b30bb95b60ebc6c57afbc7215716224af731c51ff8d430788cd40,cellpose_cpsam,gray_max,0.5,True,3907.898,gray_max,True,False,,0.4,0.0,15,136,82,63,19,73,0.7682926829268293,0.4632352941176471,0.5779816513761468,0.7489072077108208,0.8508853421939182,-54,54
2bf594e9d06f78b4b79d7ffb395497a0a91126b6b0d710d7a9cee21f5c3bd177,cellpose_cpsam,gray_max,0.5,True,712.051,gray_max,True,False,,0.4,0.0,15,23,21,9,12,14,0.42857142857142855,0.391304347826087,0.4090909090909091,0.5689681114021635,0.7238790702273104,-2,2
00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,cellpose_cpsam,gray_max,0.5,True,727.926,gray_max,True,False,,0.4,0.0,15,27,20,20,0,7,1.0,0.7407407407407407,0.851063829787234,0.8127344540677978,0.893917432688478,-7,7
0c6507d493bf79b2ba248c5cca3d14df8b67328b89efa5f4a32f97a06a88c92c,cellpose_cpsam,gray_max,0.5,True,708.435,gray_max,True,False,,0.4,0.0,15,28,25,25,0,3,1.0,0.8928571428571429,0.9433962264150945,0.933845581585983,0.9649612404856205,-3,3
1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,cellpose_cpsam,gray_max,0.5,True,2054.247,gray_max,True,False,,0.4,0.0,15,76,83,74,9,2,0.891566265060241,0.9736842105263158,0.930817610062893,0.9061860202800921,0.9497451117257585,7,7
