split,image_id,method,method_label,perturbation,clean_object_f1,object_f1,absolute_object_f1_drop,relative_object_f1_drop,clean_precision,precision,precision_drop,clean_recall,recall,recall_drop,clean_absolute_count_error,absolute_count_error,absolute_count_error_delta,true_instances,pred_instances,false_positives,false_negatives
stage1_train_clean20_subset,942d56861fc83e195e9c559a000bb86627d8682f8dcc2300818458e5b6850dd0,otsu_watershed,Otsu + watershed,clean,0.8519,0.8519,0.0,0.0,0.807,0.807,0.0,0.902,0.902,0.0,6,6,0,51,57,11,5
stage1_train_clean20_subset,942d56861fc83e195e9c559a000bb86627d8682f8dcc2300818458e5b6850dd0,otsu_watershed,Otsu + watershed,gaussian_noise,0.8519,0.614,0.2378,0.2792,0.807,0.5556,0.2515,0.902,0.6863,0.2157,6,12,6,51,63,28,16
stage1_train_clean20_subset,942d56861fc83e195e9c559a000bb86627d8682f8dcc2300818458e5b6850dd0,otsu_watershed,Otsu + watershed,poisson_noise,0.8519,0.7692,0.0826,0.097,0.807,0.6818,0.1252,0.902,0.8824,0.0196,6,15,9,51,66,21,6
stage1_train_clean20_subset,942d56861fc83e195e9c559a000bb86627d8682f8dcc2300818458e5b6850dd0,otsu_watershed,Otsu + watershed,gaussian_blur,0.8519,0.8868,-0.0349,-0.041,0.807,0.8545,-0.0475,0.902,0.9216,-0.0196,6,4,-2,51,55,8,4
stage1_train_clean20_subset,942d56861fc83e195e9c559a000bb86627d8682f8dcc2300818458e5b6850dd0,otsu_watershed,Otsu + watershed,downsample_upsample,0.8519,0.9615,-0.1097,-0.1288,0.807,0.9434,-0.1364,0.902,0.9804,-0.0784,6,2,-4,51,53,3,1
stage1_train_clean20_subset,942d56861fc83e195e9c559a000bb86627d8682f8dcc2300818458e5b6850dd0,otsu_watershed,Otsu + watershed,intensity_scale,0.8519,0.8519,0.0,0.0,0.807,0.807,0.0,0.902,0.902,0.0,6,6,0,51,57,11,5
stage1_train_clean20_subset,942d56861fc83e195e9c559a000bb86627d8682f8dcc2300818458e5b6850dd0,otsu_watershed,Otsu + watershed,contrast_inversion,0.8519,0.789,0.0629,0.0738,0.807,0.7414,0.0656,0.902,0.8431,0.0588,6,7,1,51,58,15,8
stage1_train_clean20_subset,a1777737270c5f96c4523dff76e4097756f8f7d4c9d59bac079e31f9510deabd,otsu_watershed,Otsu + watershed,clean,0.2558,0.2558,0.0,0.0,0.1833,0.1833,0.0,0.4231,0.4231,0.0,34,34,0,26,60,49,15
stage1_train_clean20_subset,a1777737270c5f96c4523dff76e4097756f8f7d4c9d59bac079e31f9510deabd,otsu_watershed,Otsu + watershed,gaussian_noise,0.2558,0.1037,0.1521,0.5946,0.1833,0.0642,0.1191,0.4231,0.2692,0.1538,34,83,49,26,109,102,19
stage1_train_clean20_subset,a1777737270c5f96c4523dff76e4097756f8f7d4c9d59bac079e31f9510deabd,otsu_watershed,Otsu + watershed,poisson_noise,0.2558,0.1228,0.133,0.5199,0.1833,0.0795,0.1038,0.4231,0.2692,0.1538,34,62,28,26,88,81,19
stage1_train_clean20_subset,a1777737270c5f96c4523dff76e4097756f8f7d4c9d59bac079e31f9510deabd,otsu_watershed,Otsu + watershed,gaussian_blur,0.2558,0.2766,-0.0208,-0.0812,0.1833,0.1912,-0.0078,0.4231,0.5,-0.0769,34,42,8,26,68,55,13
stage1_train_clean20_subset,a1777737270c5f96c4523dff76e4097756f8f7d4c9d59bac079e31f9510deabd,otsu_watershed,Otsu + watershed,downsample_upsample,0.2558,0.2667,-0.0109,-0.0424,0.1833,0.1875,-0.0042,0.4231,0.4615,-0.0385,34,38,4,26,64,52,14
stage1_train_clean20_subset,a1777737270c5f96c4523dff76e4097756f8f7d4c9d59bac079e31f9510deabd,otsu_watershed,Otsu + watershed,intensity_scale,0.2558,0.2558,0.0,0.0,0.1833,0.1833,0.0,0.4231,0.4231,0.0,34,34,0,26,60,49,15
stage1_train_clean20_subset,a1777737270c5f96c4523dff76e4097756f8f7d4c9d59bac079e31f9510deabd,otsu_watershed,Otsu + watershed,contrast_inversion,0.2558,0.2174,0.0384,0.1502,0.1833,0.1515,0.0318,0.4231,0.3846,0.0385,34,40,6,26,66,56,16
stage1_train_clean20_subset,ad473063dab4bf4f2461d9a99a9c0166d4871f156516d9e0a523484e7cf2258d,otsu_watershed,Otsu + watershed,clean,0.3938,0.3938,0.0,0.0,0.3486,0.3486,0.0,0.4524,0.4524,0.0,25,25,0,84,109,71,46
stage1_train_clean20_subset,ad473063dab4bf4f2461d9a99a9c0166d4871f156516d9e0a523484e7cf2258d,otsu_watershed,Otsu + watershed,gaussian_noise,0.3938,0.3163,0.0775,0.1967,0.3486,0.2768,0.0718,0.4524,0.369,0.0833,25,28,3,84,112,81,53
stage1_train_clean20_subset,ad473063dab4bf4f2461d9a99a9c0166d4871f156516d9e0a523484e7cf2258d,otsu_watershed,Otsu + watershed,poisson_noise,0.3938,0.2286,0.1652,0.4195,0.3486,0.1905,0.1581,0.4524,0.2857,0.1667,25,42,17,84,126,102,60
