split,image_id,method,method_label,config_id,sweep_group,perturbation,perturbation_index,perturbation_params,iou_threshold,sam2_config,checkpoint,points_per_side,pred_iou_thresh,stability_score_thresh,min_mask_region_area,crop_n_layers,box_nms_thresh,raw_amg_masks,zero_prediction,latency_ms,true_instances,pred_instances,matched_instances,false_positives,false_negatives,precision,recall,object_f1,mean_matched_iou,mean_matched_dice,count_error,absolute_count_error
stage1_train_clean20_subset,f29fd9c52e04403cd2c7d43b6fe2479292e53b2f61969d25256d2d2aca7c6a81,sam2_amg,SAM2 AMG,points_per_side_16,points_per_side,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,16,0.8,0.9,15,0,0.7,3,False,1031.344,199,2,0,2,199,0.0,0.0,0.0,0.0,0.0,-197,197
stage1_train_clean20_subset,ff599c7301daa1f783924ac8cbe3ce7b42878f15a39c2d19659189951f540f48,sam2_amg,SAM2 AMG,points_per_side_16,points_per_side,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,16,0.8,0.9,15,0,0.7,24,False,885.811,24,24,21,3,3,0.875,0.875,0.875,0.9442367603590278,0.9711121938462052,0,0
stage1_train_clean20_subset,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,sam2_amg,SAM2 AMG,points_per_side_32,points_per_side,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,32,0.8,0.9,15,0,0.7,25,False,2939.749,27,4,0,4,27,0.0,0.0,0.0,0.0,0.0,-23,23
stage1_train_clean20_subset,0c6507d493bf79b2ba248c5cca3d14df8b67328b89efa5f4a32f97a06a88c92c,sam2_amg,SAM2 AMG,points_per_side_32,points_per_side,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,32,0.8,0.9,15,0,0.7,29,False,3031.062,28,14,7,7,21,0.5,0.25,0.3333333333333333,0.679555808655309,0.8028981883576511,-14,14
stage1_train_clean20_subset,1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,sam2_amg,SAM2 AMG,points_per_side_32,points_per_side,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,32,0.8,0.9,15,0,0.7,76,False,2451.98,76,76,73,3,3,0.9605263157894736,0.9605263157894736,0.9605263157894736,0.8995498511023645,0.94578341315096,0,0
stage1_train_clean20_subset,2817299fd3b88670e86a9db5651ba24333c299d1d41e5491aabfcd95aee84174,sam2_amg,SAM2 AMG,points_per_side_32,points_per_side,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,32,0.8,0.9,15,0,0.7,18,False,2794.685,16,3,0,3,16,0.0,0.0,0.0,0.0,0.0,-13,13
stage1_train_clean20_subset,33a5b0ff232b425796ee6a9dd5b516ff9aad54ca723b4ec490bf5cd9b2e2a731,sam2_amg,SAM2 AMG,points_per_side_32,points_per_side,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,32,0.8,0.9,15,0,0.7,28,False,2573.543,23,3,1,2,22,0.3333333333333333,0.0434782608695652,0.0769230769230769,0.9446952595936796,0.971561230412072,-20,20
stage1_train_clean20_subset,4193474b2f1c72f735b13633b219d9cabdd43c21d9c2bb4dfc4809f104ba4c06,sam2_amg,SAM2 AMG,points_per_side_32,points_per_side,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,32,0.8,0.9,15,0,0.7,23,False,2606.28,12,11,4,7,8,0.3636363636363636,0.3333333333333333,0.3478260869565217,0.8318305627045766,0.9061797243704032,-1,1
stage1_train_clean20_subset,4e07a653352b30bb95b60ebc6c57afbc7215716224af731c51ff8d430788cd40,sam2_amg,SAM2 AMG,points_per_side_32,points_per_side,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,32,0.8,0.9,15,0,0.7,85,False,2982.465,136,67,1,66,135,0.0149253731343283,0.0073529411764705,0.0098522167487684,0.7872340425531915,0.8809523809523809,-69,69
stage1_train_clean20_subset,5afcbfd0dd64392aa1e233b996d0bfb4354ee7119f30ae111c33d0fe4df11590,sam2_amg,SAM2 AMG,points_per_side_32,points_per_side,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,32,0.8,0.9,15,0,0.7,33,False,3135.255,27,31,26,5,1,0.8387096774193549,0.9629629629629628,0.896551724137931,0.9129603672711906,0.951289262900972,4,4
